date,place,section,subject,time,title,url
7 февраля 2017 года,,Документы,"Внешняя политика, Здравоохранение, Рынок труда",18:20,"Подписан закон о ратификации Конвенции о профилактике и контроле профессиональных рисков, вызываемых канцерогенными веществами",http://kremlin.ru/catalog/keywords/82/events/53831
7 февраля 2017 года,,Документы,"Внешняя политика, Правопорядок",18:25,Подписан закон о ратификации Договора между Россией и КНДР о выдаче,http://kremlin.ru/catalog/keywords/82/events/53828
7 февраля 2017 года,,Документы,"Внешняя политика, Правопорядок",18:30,Подписан закон о ратификации Договора между Россией и КНДР о взаимной правовой помощи по уголовным делам,http://kremlin.ru/catalog/keywords/82/events/53826
7 февраля 2017 года,,Документы,"Внешняя политика, Правопорядок",18:35,Подписан закон о ратификации Договора между Россией и Шри-Ланкой о взаимной правовой помощи по уголовным делам,http://kremlin.ru/catalog/keywords/82/events/53825
9 февраля 2017 года,Поздравления,Телеграммы,Внешняя политика,18:00,"Филиппу VI, Королю Испании",http://kremlin.ru/catalog/keywords/82/events/53853
9 февраля 2017 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность",18:30,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/53850
10 февраля 2017 года,,Новости,"Внешняя политика, Госслужба",09:00,Поздравление сотрудникам и ветеранам МИД России с Днём дипломатического работника,http://kremlin.ru/catalog/keywords/82/events/53849
10 февраля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, Госслужба",13:55,Встреча с главой МИД России Сергеем Лавровым,http://kremlin.ru/catalog/keywords/82/events/53857
10 февраля 2017 года,"Москва, Кремль",Выступления и стенограммы,Внешняя политика,14:50,Начало встречи с Президентом Республики Словении Борутом Пахором,http://kremlin.ru/catalog/keywords/82/events/53859
10 февраля 2017 года,"Москва, Кремль",Выступления и стенограммы,Внешняя политика,17:15,Заявления для прессы и ответы на вопросы журналистов по итогам российско-словенских переговоров на высшем уровне,http://kremlin.ru/catalog/keywords/82/events/53861
10 февраля 2017 года,"Москва, Кремль",Новости,Внешняя политика,17:20,Российско-словенские переговоры на высшем уровне,http://kremlin.ru/catalog/keywords/82/events/53858
12 февраля 2017 года,,Новости,Внешняя политика,17:00,Поздравление Франку-Вальтеру Штайнмайеру по случаю его избрания Федеральным президентом Федеративной Республики Германия,http://kremlin.ru/catalog/keywords/82/events/53864
13 февраля 2017 года,,Новости,Внешняя политика,10:50,Поздравление Гурбангулы Бердымухамедову с победой на выборах Президента Туркменистана,http://kremlin.ru/catalog/keywords/82/events/53866
14 февраля 2017 года,,Новости,Внешняя политика,11:15,Телефонный разговор с Президентом Туркменистана Гурбангулы Бердымухамедовым,http://kremlin.ru/catalog/keywords/82/events/53871
16 февраля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:15,Российско-уругвайские переговоры,http://kremlin.ru/catalog/keywords/82/events/53884
16 февраля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:20,Заявления для прессы по итогам российско-уругвайских переговоров,http://kremlin.ru/catalog/keywords/82/events/53885
20 февраля 2017 года,,Новости,"Внешняя политика, Госслужба",21:30,Соболезнования в связи с кончиной Виталия Чуркина,http://kremlin.ru/catalog/keywords/82/events/53908
22 февраля 2017 года,,Документы,"Внешняя политика, Правоохранительные органы, СНГ",15:00,Подписан закон о ратификации Соглашения о порядке создания и деятельности совместных следственно-оперативных групп на территориях государств – участников СНГ,http://kremlin.ru/catalog/keywords/82/events/53919
23 февраля 2017 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность",14:00,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/53939
27 февраля 2017 года,Алма-Ата,"Новости, Выступления и стенограммы",Внешняя политика,11:00,Встреча с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/53949
27 февраля 2017 года,Душанбе,Выступления и стенограммы,Внешняя политика,14:50,Начало встречи с Президентом Таджикистана Эмомали Рахмоном,http://kremlin.ru/catalog/keywords/82/events/53952
27 февраля 2017 года,Душанбе,Выступления и стенограммы,Внешняя политика,17:00,Начало российско-таджикистанских переговоров в расширенном составе,http://kremlin.ru/catalog/keywords/82/events/53954
27 февраля 2017 года,Душанбе,Новости,Внешняя политика,18:00,Российско-таджикистанские переговоры,http://kremlin.ru/catalog/keywords/82/events/53951
27 февраля 2017 года,Душанбе,Выступления и стенограммы,Внешняя политика,18:10,Заявления для прессы по итогам российско-таджикистанских переговоров,http://kremlin.ru/catalog/keywords/82/events/53955
28 февраля 2017 года,Душанбе,Новости,Внешняя политика,10:00,Телефонный разговор с Президентом Туркменистана Гурбангулы Бердымухамедовым,http://kremlin.ru/catalog/keywords/82/events/53958
28 февраля 2017 года,Бишкек,Новости,Внешняя политика,14:45,Российско-киргизские переговоры,http://kremlin.ru/catalog/keywords/82/events/53960
4 марта 2017 года,,Новости,Внешняя политика,19:00,Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/53988
,,"Новости, Анонсы",Внешняя политика,,9 марта Владимир Путин встретится с Премьер-министром Израиля Биньямином Нетаньяху,http://kremlin.ru/catalog/keywords/82/events/53989
7 марта 2017 года,,Документы,Внешняя политика,11:40,Подписан закон о ратификации Договора между Россией и Турцией о взаимной правовой помощи по уголовным делам и выдаче,http://kremlin.ru/catalog/keywords/82/events/53993
7 марта 2017 года,,Документы,"Внешняя политика, Суд",11:50,Подписан закон о ратификации Четвёртого дополнительного протокола к Европейской конвенции о выдаче,http://kremlin.ru/catalog/keywords/82/events/53995
7 марта 2017 года,,Новости,Внешняя политика,15:30,Телефонный разговор с Премьер-министром Венгрии Виктором Орбаном,http://kremlin.ru/catalog/keywords/82/events/54006
